method,target_sparsity,achieved_sparsity,seed,final_accuracy
unstructured,0.5,0.5,0,0.9977777777777778
structured,0.5,0.4887218045112782,0,0.9977777777777778
unstructured,0.5,0.5,1,0.9966666666666667
structured,0.5,0.4887218045112782,1,0.9966666666666667
unstructured,0.5,0.5,2,0.9977777777777778
structured,0.5,0.4887218045112782,2,0.9977777777777778
unstructured,0.5,0.5,3,0.9977777777777778
structured,0.5,0.4887218045112782,3,0.9977777777777778
unstructured,0.5,0.5,4,0.9977777777777778
structured,0.5,0.4887218045112782,4,0.9977777777777778
unstructured,0.7,0.7000117481203008,0,0.9977777777777778
structured,0.7,0.6872650375939849,0,0.9977777777777778
unstructured,0.7,0.7000117481203008,1,0.9966666666666667
structured,0.7,0.6872650375939849,1,0.9955555555555555
unstructured,0.7,0.7000117481203008,2,0.9966666666666667
structured,0.7,0.6872650375939849,2,0.9977777777777778
unstructured,0.7,0.7000117481203008,3,0.9977777777777778
structured,0.7,0.6872650375939849,3,0.9977777777777778
unstructured,0.7,0.7000117481203008,4,0.9977777777777778
structured,0.7,0.6872650375939849,4,0.9966666666666667
unstructured,0.85,0.8499765037593985,0,0.9977777777777778
structured,0.85,0.8323543233082706,0,0.9966666666666667
unstructured,0.85,0.8499765037593985,1,0.9966666666666667
structured,0.85,0.8323543233082706,1,0.9977777777777778
unstructured,0.85,0.8499765037593985,2,0.9977777777777778
structured,0.85,0.8323543233082706,2,0.9977777777777778
unstructured,0.85,0.8499765037593985,3,0.9977777777777778
structured,0.85,0.8323543233082706,3,0.9977777777777778
unstructured,0.85,0.8499765037593985,4,0.9966666666666667
structured,0.85,0.8323543233082706,4,0.9977777777777778
